"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0400000US12","Florida","21634529","*****","15896246","*****","11242515","6924","3232871","9562","26405","1270","596828","3662","10933","802","117096","5413","669598","10605","169086","6652","500512","10138","5738283","*****","2564895","20823","122837","5015","32792","3120","13162","1274","2267","750","928461","15303","2073869","21588","1920606","21672","153263","6388",
"1400000US12086000216","Census Tract 2.16; Miami-Dade County; Florida","4719","1146","3943","1125","121","68","3611","1118","0","15","60","89","0","15","151","259","0","15","0","15","0","15","776","277","478","335","92","91","0","15","0","15","0","15","27","44","179","159","179","159","0","15",
"1400000US12086000218","Census Tract 2.18; Miami-Dade County; Florida","3064","319","2294","339","74","69","2220","352","0","15","0","15","0","15","0","15","0","15","0","15","0","15","770","217","311","199","0","15","0","15","0","15","0","15","30","50","429","204","429","204","0","15",
"1400000US12086000219","Census Tract 2.19; Miami-Dade County; Florida","4965","917","3320","828","420","168","2754","820","0","15","29","36","0","15","91","102","26","30","26","30","0","15","1645","760","486","218","46","55","0","15","0","15","0","15","46","47","1067","702","1067","702","0","15",
"1400000US12086000220","Census Tract 2.20; Miami-Dade County; Florida","5448","1280","4238","1371","285","96","3953","1360","0","21","0","21","0","21","0","21","0","21","0","21","0","21","1210","327","389","210","180","259","0","21","0","21","0","21","153","125","488","317","485","317","3","2",
"1400000US12086000221","Census Tract 2.21; Miami-Dade County; Florida","2150","715","1057","631","379","162","673","548","5","13","0","15","0","15","0","15","0","15","0","15","0","15","1093","368","522","304","10","24","0","15","0","15","0","15","6","9","555","334","555","334","0","15",
"1400000US12086000222","Census Tract 2.22; Miami-Dade County; Florida","4128","634","1763","673","611","394","711","470","0","15","367","326","0","15","39","60","35","40","17","23","18","31","2365","734","1122","549","480","313","49","69","0","15","0","15","146","142","568","370","553","374","15","28",
"1400000US12086000223","Census Tract 2.23; Miami-Dade County; Florida","2862","638","1912","656","217","146","1628","676","0","15","67","101","0","15","0","15","0","15","0","15","0","15","950","446","343","238","0","15","0","15","0","15","0","15","177","161","430","341","430","341","0","15",
"1400000US12086000224","Census Tract 2.24; Miami-Dade County; Florida","4506","690","3181","742","292","153","2687","765","12","23","24","30","0","15","27","55","139","102","53","51","86","89","1325","576","866","525","0","15","0","15","0","15","0","15","127","155","332","230","287","219","45","72",
"1400000US12086000225","Census Tract 2.25; Miami-Dade County; Florida","4337","1044","1244","305","317","188","605","264","31","41","207","109","0","15","31","56","53","54","0","15","53","54","3093","1081","1303","689","109","175","0","15","0","15","0","15","428","318","1253","856","1253","856","0","15",
"1400000US12086000226","Census Tract 2.26; Miami-Dade County; Florida","2797","590","2499","590","2353","558","77","86","0","15","55","78","0","15","0","15","14","38","0","15","14","38","298","109","168","117","0","15","1","4","0","15","0","15","44","55","85","69","85","69","0","15",
"1400000US12086000227","Census Tract 2.27; Miami-Dade County; Florida","3170","647","2305","529","25","21","2029","527","0","15","15","56","0","15","0","15","236","198","4","9","232","197","865","532","318","212","9","15","0","15","0","15","0","15","23","35","515","499","503","491","12","25",
"1400000US12086000228","Census Tract 2.28; Miami-Dade County; Florida","2778","510","2087","544","75","49","1955","556","0","15","0","15","0","15","25","39","32","31","0","15","32","31","691","300","67","74","14","20","0","15","0","15","0","15","77","104","533","299","525","294","8","13",
"1400000US12086000302","Census Tract 3.02; Miami-Dade County; Florida","2087","416","1028","437","197","114","749","386","0","15","32","43","0","15","0","15","50","60","13","20","37","58","1059","355","590","335","86","134","0","15","0","15","0","15","92","103","291","197","291","197","0","15",
"1400000US12086000306","Census Tract 3.06; Miami-Dade County; Florida","4913","673","3663","786","351","183","3197","806","0","15","8","20","0","15","15","28","92","97","0","15","92","97","1250","397","545","198","46","57","0","15","0","15","0","15","182","138","477","279","440","262","37","41",
"1400000US12086000307","Census Tract 3.07; Miami-Dade County; Florida","4069","603","2790","626","262","164","2452","616","0","15","0","15","0","15","0","15","76","79","0","15","76","79","1279","300","757","305","0","15","0","15","0","15","0","15","269","195","253","160","236","163","17","25",
"1400000US12086000308","Census Tract 3.08; Miami-Dade County; Florida","4708","492","3275","531","286","123","2691","616","0","15","36","52","0","15","0","15","262","240","228","234","34","55","1433","315","726","286","6","8","0","15","0","15","0","15","230","158","471","212","320","153","151","140",
"1400000US12086000309","Census Tract 3.09; Miami-Dade County; Florida","3905","761","3189","862","140","72","3042","869","0","15","7","18","0","15","0","15","0","15","0","15","0","15","716","403","568","381","6","10","0","15","0","15","0","15","95","132","47","39","42","43","5","13",
"1400000US12086000310","Census Tract 3.10; Miami-Dade County; Florida","2967","686","2119","496","116","102","1585","510","0","15","394","283","0","15","11","17","13","21","5","17","8","17","848","594","86","83","86","134","0","15","0","15","0","15","29","54","647","519","647","519","0","15",
"1400000US12086000311","Census Tract 3.11; Miami-Dade County; Florida","4430","1477","3741","1448","351","280","3154","1311","0","15","0","15","0","15","147","182","89","108","0","15","89","108","689","365","440","414","0","15","0","15","0","15","0","15","75","129","174","172","174","172","0","15",
"1400000US12086000312","Census Tract 3.12; Miami-Dade County; Florida","3638","667","2900","681","303","223","2484","729","0","15","79","75","0","15","0","15","34","39","9","14","25","37","738","410","354","285","0","15","0","15","0","15","0","15","41","50","343","320","343","320","0","15",
"1400000US12086000402","Census Tract 4.02; Miami-Dade County; Florida","4315","689","2661","722","91","84","2509","713","0","15","0","15","0","15","35","58","26","38","0","15","26","38","1654","553","567","313","18","21","0","15","0","15","0","15","0","15","1069","545","1069","545","0","15",
"1400000US12086000405","Census Tract 4.05; Miami-Dade County; Florida","3796","456","2539","327","8","11","2512","328","0","15","0","15","0","15","0","15","19","32","0","15","19","32","1257","299","462","304","3","6","0","15","0","15","0","15","110","99","682","512","630","519","52","90",
"1400000US12086000408","Census Tract 4.08; Miami-Dade County; Florida","6253","893","4103","668","106","107","3960","665","0","21","32","37","0","21","0","21","5","17","0","21","5","17","2150","706","492","298","188","148","0","21","0","21","0","21","1025","663","445","299","445","299","0","21",
"1400000US12086000409","Census Tract 4.09; Miami-Dade County; Florida","4372","619","3221","590","41","48","3106","613","0","15","74","124","0","15","0","15","0","15","0","15","0","15","1151","437","339","230","195","172","0","15","0","15","0","15","223","246","394","344","336","347","58","89",
"1400000US12086000410","Census Tract 4.10; Miami-Dade County; Florida","5146","1164","3809","1130","14","14","3795","1129","0","21","0","21","0","21","0","21","0","21","0","21","0","21","1337","418","741","202","4","9","0","21","0","21","0","21","207","273","385","276","385","276","0","21",
"1400000US12086000411","Census Tract 4.11; Miami-Dade County; Florida","6043","1323","4865","1385","142","136","4629","1417","24","39","0","21","0","21","13","19","57","77","0","21","57","77","1178","288","529","266","0","21","0","21","0","21","0","21","264","216","385","277","385","277","0","21",
"1400000US12086000413","Census Tract 4.13; Miami-Dade County; Florida","5622","832","4133","984","21","23","4024","995","59","81","9","15","0","21","0","21","20","43","0","21","20","43","1489","547","693","465","53","82","0","21","0","21","0","21","178","225","565","355","565","355","0","21",
"1400000US12086000414","Census Tract 4.14; Miami-Dade County; Florida","5011","641","4072","647","140","114","3932","640","0","21","0","21","0","21","0","21","0","21","0","21","0","21","939","258","177","190","148","149","0","21","0","21","0","21","231","168","383","326","383","326","0","21",
"1400000US12086000415","Census Tract 4.15; Miami-Dade County; Florida","2099","558","1162","427","27","53","1135","432","0","15","0","15","0","15","0","15","0","15","0","15","0","15","937","426","441","449","24","37","0","15","0","15","0","15","140","164","332","390","332","390","0","15",
"1400000US12086000416","Census Tract 4.16; Miami-Dade County; Florida","4996","1308","2645","687","8","16","2623","687","0","15","0","15","14","25","0","15","0","15","0","15","0","15","2351","1191","1058","1053","133","198","0","15","0","15","0","15","543","451","617","498","617","498","0","15",
"1400000US12086000417","Census Tract 4.17; Miami-Dade County; Florida","4500","888","3086","769","1","2","2988","779","37","53","60","98","0","15","0","15","0","15","0","15","0","15","1414","617","471","371","201","233","0","15","0","15","0","15","107","133","635","466","635","466","0","15",
"1400000US12086000418","Census Tract 4.18; Miami-Dade County; Florida","3074","801","2637","936","0","15","2576","940","0","15","0","15","0","15","0","15","61","86","2","3","59","86","437","383","180","235","10","16","0","15","0","15","0","15","0","15","247","295","241","295","6","7",
"1400000US12086000419","Census Tract 4.19; Miami-Dade County; Florida","3388","1295","2192","1270","44","44","2079","1269","0","15","0","15","0","15","69","113","0","15","0","15","0","15","1196","496","1006","478","0","15","0","15","0","15","0","15","101","134","89","106","89","106","0","15",
"1400000US12086000420","Census Tract 4.20; Miami-Dade County; Florida","3231","907","2084","933","23","29","2013","940","0","15","0","15","0","15","26","42","22","40","0","15","22","40","1147","362","213","323","183","199","0","15","0","15","0","15","535","402","216","137","200","133","16","27",
"1400000US12086000504","Census Tract 5.04; Miami-Dade County; Florida","4913","845","1587","515","43","45","1526","514","0","15","0","15","0","15","2","3","16","19","0","15","16","19","3326","770","1386","522","307","327","0","15","0","15","0","15","269","168","1364","632","1364","632","0","15",
"1400000US12086000505","Census Tract 5.05; Miami-Dade County; Florida","5179","502","462","288","120","102","342","294","0","21","0","21","0","21","0","21","0","21","0","21","0","21","4717","528","2026","476","173","188","0","21","0","21","0","21","108","93","2410","534","2410","534","0","21",
